uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::dual::dual-00107,dual,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::dual::dual-00108,dual,0.0,0.4,0.4,0+2,1.0,0.0,0.0,0.4,0.0
training_seed73000_samplerv2::dual::dual-00109,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00111,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00113,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00115,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00118,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00119,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00124,dual,0.0,0.6,0.6,0+2,1.0,0.0,0.0,0.6,0.0
training_seed73000_samplerv2::dual::dual-00126,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00130,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00132,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00133,dual,0.2,1.0,1.0,0+2,1.0,0.4,0.2,1.0,0.2
training_seed73000_samplerv2::dual::dual-00134,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00135,dual,0.4,0.4,0.4,0+1,1.0,0.4,0.2,0.4,0.4
training_seed73000_samplerv2::dual::dual-00136,dual,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00137,dual,0.2,1.0,1.0,0+2,1.0,0.2,0.2,1.0,0.2
training_seed73000_samplerv2::dual::dual-00138,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00139,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00141,dual,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
