run,vehicle,scenario,header_status,channels,points_declared,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,explicit_aeb_fcw_channels,error
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R1.txt,13-xiaopengG9,AEB,data_export,409,1205,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R10.txt,13-xiaopengG9,AEB,data_export,409,1206,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R11.txt,13-xiaopengG9,AEB,data_export,409,1204,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R12.txt,13-xiaopengG9,AEB,data_export,409,1202,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R13.txt,13-xiaopengG9,AEB,data_export,409,1201,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R14.txt,13-xiaopengG9,AEB,data_export,409,1206,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R15.txt,13-xiaopengG9,AEB,data_export,409,1205,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R16.txt,13-xiaopengG9,AEB,data_export,409,1203,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R2.txt,13-xiaopengG9,AEB,data_export,409,1208,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R3.txt,13-xiaopengG9,AEB,data_export,409,1201,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R4.txt,13-xiaopengG9,AEB,data_export,409,1207,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R5.txt,13-xiaopengG9,AEB,data_export,409,1204,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R6.txt,13-xiaopengG9,AEB,data_export,409,1207,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R7.txt,13-xiaopengG9,AEB,data_export,409,1205,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R8.txt,13-xiaopengG9,AEB,data_export,409,1205,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R9.txt,13-xiaopengG9,AEB,data_export,409,1205,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/14-Tyres (1x(9+1) @ 56 kph) [8.1.3.1]/CurrentTestSpec.txt,13-xiaopengG9,AEB,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/14-Tyres (1x(9+1) @ 56 kph) [8.1.3.1]/V13_T14_R1.txt,13-xiaopengG9,AEB,data_export,409,1304,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/14-Tyres (1x(9+1) @ 56 kph) [8.1.3.1]/V13_T14_R2.txt,13-xiaopengG9,AEB,data_export,409,1353,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/14-Tyres (1x(9+1) @ 56 kph) [8.1.3.1]/V13_T14_R3.txt,13-xiaopengG9,AEB,data_export,409,1352,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/9-Brakes method A (20 @ 56 kph) [8.1.2.1]/CurrentTestSpec.txt,13-xiaopengG9,AEB,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/9-Brakes method A (20 @ 56 kph) [8.1.2.1]/V13_T9_R10.txt,13-xiaopengG9,AEB,data_export,409,734,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/9-Brakes method A (20 @ 56 kph) [8.1.2.1]/V13_T9_R11.txt,13-xiaopengG9,AEB,data_export,409,736,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/9-Brakes method A (20 @ 56 kph) [8.1.2.1]/V13_T9_R12.txt,13-xiaopengG9,AEB,data_export,409,738,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/9-Brakes method A (20 @ 56 kph) [8.1.2.1]/V13_T9_R13.txt,13-xiaopengG9,AEB,data_export,409,741,True,False,False,False,False,,
