run,rel_dist_at_onset_m,min_rel_dist_m,min_rel_dist_rel_s,first_contact_rel_s,speed_at_first_contact_kph,outcome
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/613-VUT 40 kph; CPNSOC-50 kph AEB (Day)-CIASI/V14_T613_R3.txt,9.338,1.942,1.22,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNSOC-50 5 kph AEB (Day)-CIASI/V14_T616_R1.txt,16.129,0.159,1.79,,,near_contact_0_5
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNSOC-50 5 kph AEB (Day)-CIASI/V14_T616_R2.txt,15.778,-0.053,1.79,1.69,3.78,contact_and_stopped
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNSOC-50 5 kph AEB (Day)-CIASI/V14_T616_R3.txt,17.232,1.464,1.79,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/479-VUT 20 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T479_R2.txt,3.068,0.937,0.67,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/479-VUT 20 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T479_R3.txt,3.236,1.11,0.67,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/479-VUT 20 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T479_R4.txt,3.888,1.751,0.68,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/488-VUT 40 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T488_R1.txt,9.666,2.032,1.27,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/488-VUT 40 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T488_R2.txt,9.804,2.233,1.27,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/488-VUT 40 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T488_R3.txt,9.995,2.458,1.26,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/497-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T497_R1.txt,20.101,3.65,2.02,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/497-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T497_R2.txt,19.489,3.353,2.0,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/497-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day)/V14_T497_R3.txt,19.345,3.509,1.84,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1766-VUT 20 kph; CPFOA-50 5 kph AEB (Night)/V14_T1766_R1.txt,3.027,1.051,0.63,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1766-VUT 20 kph; CPFOA-50 5 kph AEB (Night)/V14_T1766_R2.txt,3.422,1.405,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1766-VUT 20 kph; CPFOA-50 5 kph AEB (Night)/V14_T1766_R3.txt,3.291,1.248,0.63,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1769-VUT 40 kph; CPFOA-50 5 kph AEB (Night)/V14_T1769_R1.txt,9.581,2.506,1.21,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1769-VUT 40 kph; CPFOA-50 5 kph AEB (Night)/V14_T1769_R2.txt,9.678,2.494,1.21,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1769-VUT 40 kph; CPFOA-50 5 kph AEB (Night)/V14_T1769_R3.txt,9.634,2.343,1.21,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1772-VUT 20 kph; CPNA-25 5 kph AEB (Night)/V14_T1772_R1.txt,3.243,1.199,0.64,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1772-VUT 20 kph; CPNA-25 5 kph AEB (Night)/V14_T1772_R2.txt,3.226,1.228,0.63,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1772-VUT 20 kph; CPNA-25 5 kph AEB (Night)/V14_T1772_R3.txt,3.385,1.47,0.61,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R1.txt,10.077,2.954,1.2,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R2.txt,10.004,2.886,1.21,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1775-VUT 40 kph; CPNA-25 5 kph AEB (Night)/V14_T1775_R3.txt,10.0,2.981,1.16,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1778-VUT 60 kph; CPNA-25 5 kph AEB (Night)/V14_T1778_R1.txt,20.099,4.262,2.01,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1778-VUT 60 kph; CPNA-25 5 kph AEB (Night)/V14_T1778_R2.txt,20.551,4.388,2.1,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/1778-VUT 60 kph; CPNA-25 5 kph AEB (Night)/V14_T1778_R3.txt,19.528,4.347,1.92,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/482-VUT 20 kph; CPFAO-25 6.5 kph AEB (Night)/V14_T482_R2.txt,3.118,1.072,0.66,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/482-VUT 20 kph; CPFAO-25 6.5 kph AEB (Night)/V14_T482_R3.txt,3.049,1.014,0.64,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/482-VUT 20 kph; CPFAO-25 6.5 kph AEB (Night)/V14_T482_R4.txt,2.992,0.961,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/491-VUT 40 kph; CPFAO-25 6.5 kph AEB (Night)/V14_T491_R1.txt,9.516,2.282,1.23,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/491-VUT 40 kph; CPFAO-25 6.5 kph AEB (Night)/V14_T491_R2.txt,9.285,2.022,1.21,,,clear
