run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/13-Pedestrian Longitudinal Scenarios/14-CPLA-50 5 kph (Day) [7.2.7]/518-VUT 40 kph; CPLA-50 5 kph (Day)/V13_T518_R2.txt,13-xiaopengG9,operator_confirmed_aeb_response,1,CPLA,39.91,11.254,8.502,0.79,1.18,24.5,45.592,64.8559277347913,0.05750799085944893,1.8822318892925958,0.2236022949219887,2.944082736968995,0.0708955223880597,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,69.844,11.052,8.667,1.54,2.07,0.01,40.882,53.82847107500616,0.7188805192708969,2.975178141146903,2.2231140136719887,5.007348299026489,0.0392156862745098,3
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car/V9_T69_R3.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,72.519,11.036,5.316,2.35,2.9,0.039,51.516,49.45757498110268,0.651146404445171,6.395193181931973,1.5362548828129547,4.57645761966705,0.025,4
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,69.844,11.052,8.667,1.54,2.07,0.01,40.882,53.82847107500616,0.7188805192708969,2.975178141146903,2.2231140136719887,5.007348299026489,0.0392156862745098,3
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 72 kph; CCRs 100 % FCW-car (1)/V9_T69_R3.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,72.519,11.036,5.316,2.35,2.9,0.039,51.516,49.45757498110268,0.651146404445171,6.395193181931973,1.5362548828129547,4.57645761966705,0.025,4
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night/V9_T712_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.11,11.038,9.219,1.27,1.66,31.311,19.11,56.559608764212356,0.07951277494430539,4.38373372338538,0.3959045410149997,3.13684803247452,0.060126582278481014,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night/V9_T712_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.327,10.987,9.277,1.51,1.65,26.436,19.983,58.11725127558233,0.08079184358939526,3.0904734782088767,0.2692260742189774,3.170695543289183,0.05714285714285714,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night (1)/V9_T712_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.11,11.038,9.219,1.27,1.66,31.311,19.11,56.559608764212356,0.07951277494430539,4.38373372338538,0.3959045410149997,3.13684803247452,0.060126582278481014,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/712-VUT 60 kph; CCRs 100 % FCW-track-night (1)/V9_T712_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.327,10.987,9.277,1.51,1.65,26.436,19.983,58.11725127558233,0.08079184358939526,3.0904734782088767,0.2692260742189774,3.170695543289183,0.05714285714285714,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night/V9_T716_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.256,10.965,9.295,1.26,1.66,26.256,30.574,64.69063557949671,0.0919658616185189,5.881983376108107,0.5228881835939774,3.081404566764831,0.060126582278481014,2
